,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
0,55 sqm,super area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42.5 Lac, 7179,New Property
1,56 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 41 Lac,,New Property
2,55 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42.2 Lac,,New Property
3,55 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42 Lac,,New Property
4,56 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 38.7 Lac,,New Property
5,1277 sqft,Carpet Area,,    Office Space  for Sale in Baner ,,,5 out of 10,Certified Agent,REMAX V21 REALTY PLUS PUNE,"Feb 20, '18", 1.21 Cr,,
6,1057 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.8 Lac,,New Property
7,1055 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.7 Lac,,New Property
8,727 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 43.2 Lac,,New Property
9,1054 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.7 Lac,,New Property
10,758 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 45.1 Lac,,New Property
11,750 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 44.6 Lac,,New Property
12,1076 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.9 Lac,,New Property
13,767 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 45.5 Lac,,New Property
14,1071 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.7 Lac,,New Property
15,1072 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.7 Lac,,New Property
16,1078 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 64.1 Lac,,New Property
17,707 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 47.4 Lac,,New Property
18,785 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 46.7 Lac,,New Property
19,771 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 45.8 Lac,,New Property
20,790 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 46.9 Lac,,New Property
21,1067 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.4 Lac,,New Property
22,954 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 64.1 Lac,,New Property
23,1107 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 74.1 Lac,,New Property
24,1112 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 74.4 Lac,,New Property
25,888 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Teerth Aarohi , Sus ",,Unfurnished,Ready to Move,Builder,Teerth Realties,"Mar 06, '18", 59 Lac,,New Property
26,964 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Teerth Aarohi , Sus ",,Unfurnished,Ready to Move,Builder,Teerth Realties,"Mar 06, '18", 63.5 Lac,,New Property
27,901 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 60.8 Lac,,New Property
28,45 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",3,Unfurnished,3,Builder,Chandrangan Buildcon,"Mar 08, '18", 26.4 Lac,,New Property
29,45 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",2,Unfurnished,2,Builder,Chandrangan Buildcon,"Mar 08, '18", 26.8 Lac,,New Property
30,790 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 46.9 Lac,,New Property
31,1067 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.4 Lac,,New Property
32,954 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 64.1 Lac,,New Property
33,1107 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 74.1 Lac,,New Property
34,1112 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 74.4 Lac,,New Property
35,888 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Teerth Aarohi , Sus ",,Unfurnished,Ready to Move,Builder,Teerth Realties,"Mar 06, '18", 59 Lac,,New Property
36,964 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Teerth Aarohi , Sus ",,Unfurnished,Ready to Move,Builder,Teerth Realties,"Mar 06, '18", 63.5 Lac,,New Property
37,901 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Notting Hill, Kondhwa ",,Unfurnished,Ready to Move,Builder,Paradise Realty,"Mar 06, '18", 60.8 Lac,,New Property
38,45 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",3,Unfurnished,3,Builder,Chandrangan Buildcon,"Mar 08, '18", 26.4 Lac,,New Property
39,45 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",2,Unfurnished,2,Builder,Chandrangan Buildcon,"Mar 08, '18", 26.8 Lac,,New Property
40,46 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",4,Unfurnished,4,Builder,Chandrangan Buildcon,"Mar 08, '18", 27 Lac,,New Property
41,48 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",1,Unfurnished,1,Builder,Chandrangan Buildcon,"Mar 08, '18", 28.4 Lac,,New Property
42,41 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",2,Unfurnished,2,Builder,Chandrangan Buildcon,"Mar 08, '18", 22.8 Lac,,New Property
43,43 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",3,Unfurnished,3,Builder,Chandrangan Buildcon,"Mar 08, '18", 24.4 Lac,,New Property
44,40 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",1,Unfurnished,1,Builder,Chandrangan Buildcon,"Mar 08, '18", 22.5 Lac,,New Property
45,44 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",4,Unfurnished,4,Builder,Chandrangan Buildcon,"Mar 08, '18", 25 Lac,,New Property
46,45 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",1,Unfurnished,1,Builder,Chandrangan Buildcon,"Mar 08, '18", 25.9 Lac,,New Property
47,50 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Kutumb, Ambe Gaon ",2,Unfurnished,2,Builder,Chandrangan Buildcon,"Mar 08, '18", 29.5 Lac,,New Property
48,613 sqft,carpet area,,"    2 BHK Apartment  for Sale in NEA Pure Homes, Baner road ",3 out of 6 floors,Unfurnished,Possession by Dec '18,Certified Agent,Remax V21 Realty Plus Pune,"Mar 08, '18", 51 Lac,,New Property
49,768 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Riverdale Heights, Kharadi ",9 out of 23 floors,Unfurnished,Possession by Jul '19,Certified Agent,Remax V21 Realty Plus Pune,"Mar 04, '18", 64.7 Lac,,New Property
50,341 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in VTP Bhagyasthan, Talegaon Dabhade ",5 out of 7 floors,Unfurnished,Possession by Mar '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 25 Lac,,New Property
51,801 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in V Uptown, Ravet, Pimpri Chinchwad ",5 out of 11 floors,Unfurnished,Possession by Dec '20,Certified Agent,Remax V21 Realty Plus Pune,"Mar 06, '18", 44 Lac,,New Property
52,786 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Balewadi Phata, Baner ",5 out of 11 floors,Unfurnished,Possession by Jul '18,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 60 Lac,,New Property
53,772 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in VTP Urban Life, Talegaon Dabhade ",9 out of 12 floors,Unfurnished,Possession by Dec '18,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 35 Lac,,New Property
54,1265 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Godrej Prana, Undri ",9 out of 14 floors,Semi-Furnished,Possession by Dec '18,Certified Agent,Remax V21 Realty Plus Pune,"Feb 14, '18", 73.3 Lac,,New Property
55,745 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Urban Nest, Undri ",5 out of 12 floors,Unfurnished,Possession by Jun '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 58 Lac, 7785,New Property
56,488 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in VTP Purvanchal , Wagholi ",9 out of 15 floors,Unfurnished,Possession by Sep '20,Certified Agent,Remax V21 Realty Plus Pune,"Mar 03, '18", 39.8 Lac,,New Property
57,840 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Godrej Infinity, Keshav Nagar, Mundhwa ",9 out of 22 floors,Unfurnished,Possession by Sep '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 14, '18", 75 Lac,,New Property
58,925 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Godrej Greens, Undri ",9 out of 14 floors,Unfurnished,Possession by Dec '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 16, '18", 56 Lac,,New Property
59,920 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Godrej 24, Hinjewadi ",10 out of 17 floors,Semi-Furnished,Possession by Sep '21,Certified Agent,Remax V21 Realty Plus Pune,"Feb 16, '18", 87 Lac,,New Property
60,3000 sqft,plot area,,"    Plot/Land  for Sale in Weekender Country Songs, Kamshet ",2,,New Property,Certified Agent,Remax V21 Realty Plus Pune,"Feb 24, '18", 45 Lac, 1500,New Property
61,612 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Anandtara Whitefield Residences, Keshav Nagar, Mundhwa ",,Unfurnished,Possession by Dec '18,Builder,Anandtara Group,"Mar 06, '18", 50.6 Lac, 8274,New Property
62,735 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Anandtara Whitefield Residences, Keshav Nagar, Mundhwa ",,Unfurnished,Possession by Dec '18,Builder,Anandtara Group,"Mar 06, '18", 60.5 Lac, 8226,New Property
63,962 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Pratham Yash Residency, Lohegaon ",1 out of 4 floors,Semi-Furnished,Possession by Mar '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 42.3 Lac, 4400,New Property
64,934 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Pratham Yash Residency, Lohegaon ",2 out of 4 floors,Semi-Furnished,Possession by Mar '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 41.1 Lac, 4400,New Property
65,935 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Pratham Yash Residency, Lohegaon ",2 out of 4 floors,Semi-Furnished,Possession by Mar '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 41.1 Lac, 4400,New Property
66,700 sqft,super area,1 Covered,"    1 BHK Apartment  for Sale in Pratham Yash Residency, Lohegaon ",2 out of 4 floors,Semi-Furnished,Possession by Mar '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 32 Lac, 4570,New Property
67,727 sqft,super area,1 Covered,"    1 BHK Apartment  for Sale in Pratham Yash Residency, Lohegaon ",1 out of 4 floors,Semi-Furnished,Possession by Mar '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 30.8 Lac, 4237,New Property
68,681 sqft,carpet area,,"    2 BHK Apartment  for Sale in Ravi Kiran, Alandi Road ",,Unfurnished,Possession by Mar '18,Builder,Dream House Constructions,"Mar 08, '18", 38.3 Lac,,New Property
69,477 sqft,carpet area,,"    1 BHK Apartment  for Sale in Ravi Kiran, Alandi Road ",,Unfurnished,Possession by Mar '18,Builder,Dream House Constructions,"Mar 08, '18", 27.7 Lac,,New Property
70,450 sqft,carpet area,,"    1 BHK Apartment  for Sale in Silver Land Residency Phase 1, Ravet, Pimpri Chinchwad ",,Unfurnished,New Property,Builder,GK Developers,"Mar 08, '18", 37 Lac,,New Property
71,400 sqft,carpet area,,"    1 BHK Apartment  for Sale in Silver Land Residency Phase 1, Ravet, Pimpri Chinchwad ",,Unfurnished,New Property,Builder,GK Developers,"Mar 08, '18", 35 Lac,,New Property
72,787 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sai Tirupati Greens, Alandi Road ",,Unfurnished,Possession by Dec '19,Builder,Sai Tirupati Properties,"Mar 06, '18", 46.3 Lac,,New Property
73,755 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sai Tirupati Greens, Alandi Road ",,Unfurnished,Possession by Jun '20,Builder,Sai Tirupati Properties,"Mar 06, '18", 44.5 Lac,,New Property
74,750 sqft,carpet area,,"    3 BHK Apartment  for Sale in Silver Land Residency Phase 1, Ravet, Pimpri Chinchwad ",,Unfurnished,New Property,Builder,GK Developers,"Mar 08, '18", 65 Lac,,New Property
75,692 sqft,carpet area,,"    2 BHK Apartment  for Sale in Ravi Kiran, Alandi Road ",,Unfurnished,Possession by Mar '18,Builder,Dream House Constructions,"Mar 08, '18", 38.9 Lac,,New Property
76,662 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sai Tirupati Greens, Alandi Road ",,Unfurnished,Possession by Jun '20,Builder,Sai Tirupati Properties,"Mar 06, '18", 39.6 Lac,,New Property
77,491 sqft,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Sai Tirupati Greens, Alandi Road ",,Unfurnished,Possession by Dec '19,Builder,Sai Tirupati Properties,"Mar 06, '18", 29.4 Lac,,New Property
78,600 sqft,carpet area,,"    2 BHK Apartment  for Sale in Silver Land Residency Phase 1, Ravet, Pimpri Chinchwad ",,Unfurnished,New Property,Builder,GK Developers,"Mar 08, '18", 50 Lac,,New Property
79,427 sqft,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Sai Tirupati Greens, Alandi Road ",,Unfurnished,Possession by Jun '20,Builder,Sai Tirupati Properties,"Mar 06, '18", 26 Lac,,New Property
80,671 sqft,carpet area,,"    2 BHK Apartment  for Sale in Elite Dreams, Phursungi ",8 out of 10 floors,Unfurnished,Possession by Jan '19,Builder,Gurudatta Developers ,"Mar 08, '18", 40 Lac,,New Property
81,459 sqft,carpet area,,"    1 BHK Apartment  for Sale in Elite Dreams, Phursungi ",8 out of 10 floors,Unfurnished,Possession by Jan '19,Builder,Gurudatta Developers ,"Mar 08, '18", 27.5 Lac,,New Property
82,478 sqft,carpet area,,"    1 BHK Apartment  for Sale in Elite Dreams, Phursungi ",8 out of 10 floors,Unfurnished,Possession by Jan '19,Builder,Gurudatta Developers ,"Mar 08, '18", 28.5 Lac,,New Property
83,1427 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Purva Silversands, Mundhwa ",,Unfurnished,Possession by Nov '21,Builder,Puravankara Projects Limited,"Mar 06, '18", 1.02 Cr, 7148,New Property
84,1439 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Purva Silversands, Mundhwa ",,Unfurnished,Possession by Nov '21,Builder,Puravankara Projects Limited,"Mar 06, '18", 1.10 Cr, 7644,New Property
85,1227 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Purva Silversands, Mundhwa ",,Unfurnished,Possession by Nov '21,Builder,Puravankara Projects Limited,"Mar 06, '18", 94.2 Lac, 7677,New Property
86,910 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Purva Silversands, Mundhwa ",,Unfurnished,Possession by Nov '21,Builder,Puravankara Projects Limited,"Mar 06, '18", 71.9 Lac, 7901,New Property
87,75 sqm,carpet area,,"    2 BHK Apartment  for Sale in Uttam Townscapes, Vishrantwadi, Airport Road ",,Unfurnished,Possession by Aug '18,Builder,Fortune Developers & Infrastructures,"Feb 16, '18", 97 Lac,,New Property
88,75 sqm,carpet area,,"    2 BHK Apartment  for Sale in Uttam Townscapes, Vishrantwadi, Airport Road ",,Unfurnished,Possession by Aug '18,Builder,Fortune Developers & Infrastructures,"Feb 16, '18", 95.3 Lac,,New Property
89,2478 sqft,super area,,"    4 BHK Apartment  for Sale in Future Towers, Amanora Park Town ",,Unfurnished,Ready to Move,Builder,Amanora Park Town,"Mar 07, '18", 1.90 Cr, 7667,New Property
90,95 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 1.50 Cr, 14668,New Property
91,2519 sqft,super area,,"    3 BHK Apartment  for Sale in Future Towers, Amanora Park Town ",,Unfurnished,Ready to Move,Builder,Amanora Park Town,"Mar 07, '18", 1.90 Cr, 7543,New Property
92,69 sqm,super area,1 Covered,"    1 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 1.10 Cr, 14810,New Property
93,143 sqm,carpet area,1 Covered,"    4 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",4,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 1.80 Cr,,New Property
94,2019 sqft,super area,,"    3 BHK Apartment  for Sale in Future Towers, Amanora Park Town ",,Unfurnished,Ready to Move,Builder,Amanora Park Town,"Mar 07, '18", 1.45 Cr, 7182,New Property
95,90 sqm,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",6,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 1.10 Cr,,New Property
96,85 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 1.40 Cr, 15301,New Property
97,151 sqm,super area,1 Covered,"    4 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 2.45 Cr, 15073,New Property
98,81 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 98 Lac, 11240,New Property
99,122 sqm,super area,1 Covered,"    3 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 1.50 Cr, 11422,New Property
100,101 sqm,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",4,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 1.35 Cr,,New Property
101,68 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",9,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 84 Lac, 11476,New Property
102,41 sqm,super area,1 Covered,"    1 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",9,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 55 Lac, 12462,New Property
103,90 sqm,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",4,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 1.20 Cr,,New Property
104,82 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 1.30 Cr, 14728,New Property
105,133 sqm,super area,1 Covered,"    3 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 2.20 Cr, 15367,New Property
106,152 sqm,super area,1 Covered,"    4 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 1.80 Cr, 11001,New Property
107,74 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 90 Lac, 11299,New Property
108,116 sqm,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",4,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 1.40 Cr,,New Property
109,42 sqm,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Amanora Neo Towers, Amanora Park Town ",6,Unfurnished,Possession by Jun '18,Builder,Amanora Park Town,"Mar 07, '18", 62 Lac,,New Property
110,130 sqm,super area,1 Covered,"    3 BHK Apartment  for Sale in Gateway Towers, Amanora Park Town ",6 out of 45 floors,Unfurnished,Possession by Dec '18,Builder,Amanora Park Town,"Mar 07, '18", 2.16 Cr, 15436,New Property
111,85 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 1.02 Cr, 11148,New Property
112,68 sqm,super area,1 Covered,"    2 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",9,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 85 Lac, 11612,New Property
113,110 sqm,super area,1 Covered,"    3 BHK Apartment  for Sale in Adreno Towers, Amanora Park Town ",6,Unfurnished,Possession by Dec '19,Builder,Amanora Park Town,"Mar 07, '18", 1.35 Cr, 11401,New Property
114,807 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Uttam Townscapes, Vishrantwadi, Airport Road ",2 out of 15 floors,Unfurnished,Possession by Aug '18,Builder,Fortune Developers & Infrastructures,"Feb 17, '18", 97.2 Lac, 12045,New Property
115,807 sqft,super area,,"    2 BHK Apartment  for Sale in Uttam Townscapes, Vishrantwadi, Airport Road ",3 out of 15 floors,Unfurnished,Possession by Aug '18,Builder,Fortune Developers & Infrastructures,"Feb 21, '18", 95.5 Lac, 11834,New Property
116,1258 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Park Titanium, Wakad, Pimpri Chinchwad ",,Unfurnished,Possession by Dec '18,Builder,Pride Purple Group,"Feb 02, '18", 1.21 Cr, 9618,New Property
117,1514 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Park Titanium, Wakad, Pimpri Chinchwad ",,Unfurnished,Possession by Dec '18,Builder,Pride Purple Group,"Jan 02, '18", 1.44 Cr, 9511,New Property
118,1830 sqft,carpet area,,"    4 BHK Apartment  for Sale in Kasturi Epitome, Wakad, Pimpri Chinchwad ",,Semi-Furnished,Possession by Dec '20,Builder,Kasturi Housing,"Feb 19, '18", 2.09 Cr,,New Property
119,86 sqm,carpet area,,"    2 BHK Apartment  for Sale in Eon Homes, Hinjewadi ",,Unfurnished,Possession by Dec '20,Builder,Kasturi Housing,"Feb 19, '18", 73 Lac,,New Property
120,1895 sqft,carpet area,,"    4 BHK Apartment  for Sale in Kasturi Epitome, Wakad, Pimpri Chinchwad ",,Semi-Furnished,Possession by Dec '20,Builder,Kasturi Housing,"Feb 19, '18", 2.19 Cr,,New Property
121,119 sqm,carpet area,,"    3 BHK Apartment  for Sale in Eon Homes, Hinjewadi ",,Unfurnished,Possession by Dec '20,Builder,Kasturi Housing,"Feb 19, '18", 1.02 Cr,,New Property
122,338 sqft,Super Area,,"    Office Space  for Sale in Park Plaza, Dhanori ",,,1 out of 7,Builder,Pride Purple Group,"Jan 23, '18", 32 Lac, 9467,
