,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
1705,1420 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Clover Highlands, Kondhwa ",2 out of 7 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Mar 06, '18", 1.60 Cr,,Resale
1706,744 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Redwood Chloris, Balewadi ",6 out of 7 floors,Unfurnished,Ready to Move,Builder,Oswal & Bora Realty,"Feb 23, '18", 76.4 Lac,,New Property
1707,2336 sqft,carpet area,2 Covered,"    3 BHK Apartment  for Sale in Clover Highlands, Kondhwa ",6 out of 7 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Mar 06, '18", 2.35 Cr,,Resale
1708,5050 sqft,plot area,,"    Plot/Land  for Sale in Clover Hills, Kondhwa ",1,, 70 X 72.14 Sqft,Certified Agent,Shree Laxmis Real Estate Consultants,"Mar 06, '18", 3.85 Cr, 7624,Resale
1709,725 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sterling Blooms, Rahatni, Pimpri Chinchwad ",2,Unfurnished,Possession by Dec '18,Builder,Yashada Realty,"Mar 07, '18", 63.6 Lac,,New Property
1710,738 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sterling Blooms, Rahatni, Pimpri Chinchwad ",2,Unfurnished,Possession by Dec '18,Builder,Yashada Realty,"Mar 07, '18", 64.7 Lac,,New Property
1711,813 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Nirvana Zen, Viman Nagar ",3 out of 5 floors,Unfurnished,Possession by Aug '18,Builder,Nirvana Developers,"Feb 26, '18", 88.3 Lac,,New Property
1712,1200 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Project Clover Village, Wanawari ",1 out of 6 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.10 Cr,,Resale
1713,699 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Sterling Blooms, Rahatni, Pimpri Chinchwad ",2,Unfurnished,Possession by Dec '18,Builder,Yashada Realty,"Mar 07, '18", 61.5 Lac,,New Property
1714,500 sqft,carpet area,1 Covered,"    1 BHK Apartment  for Sale in Sterling Blooms, Rahatni, Pimpri Chinchwad ",2,Unfurnished,Possession by Dec '18,Builder,Yashada Realty,"Mar 07, '18", 44.4 Lac,,New Property
1715,1016 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",10 out of 12 floors,Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Mar 06, '18", 90 Lac,,Resale
1716,1000 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Raheja Vistas, NIBM Road ",2 out of 19 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 87 Lac,,New Property
1717,1075 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Raheja Vistas, NIBM Road ",17 out of 18 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.02 Cr,,New Property
1718,2880 sqft,carpet area,2 Covered,"    4 BHK Apartment  for Sale in Clover Belvedere, Sopan Baug Society, Ghorpadi ",4 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 3.60 Cr,,Resale
1719,1000 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Konark Indrayu Enclave 2, NIBM Road ",5 out of 9 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 85 Lac,,Resale
1720,1500 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Project Clover Village, Clover Village, Wanawari ",5 out of 6 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 12, '18", 1.40 Cr,,Resale
1721,1100 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Tain Square, Fatima Nagar, Wanawari ",3 out of 9 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 85 Lac,,Resale
1722,2200 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Nyati Wind Chimes, NIBM Road ",6 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.40 Cr,,Resale
1723,2200 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Nyati Wind Chimes, NIBM Road ",6 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.40 Cr,,Resale
1724,1428 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Rose Parade, NIBM Road ",11 out of 11 floors,Semi-Furnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 22, '18", 1.40 Cr,,Resale
1725,1000 sqft,carpet area,,"    2 BHK Apartment  for Sale in Nine Hills, NIBM Road ",3 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 16, '18", 83 Lac,,Resale
1726,1885 sqft,carpet area,,"    3 BHK Apartment  for Sale in Marvel Isola, NIBM Road ",4 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Shree Laxmis Real Estate Consultants,"Feb 10, '18", 1.45 Cr,,Resale
