,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
11032,1050 sqft,carpet area,,"    2 BHK Flat  , Baner - Pashan Link Road Pune ",1 out of 11 floors,Semi-Furnished,Ready to Move,Agent,Niks Prop Solutions,"Mar 08, '18", 95 Lac,,Resale
11033,771 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Puranik Abitante, in Bavdhan Pune ",6 out of 14 floors,Semi-Furnished,Ready to Move,Agent,PFSP,"Feb 10, '18", 61.3 Lac,,New Property
11034,800 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Ganga Dham, in Ambedkar Nagar, Gultekdi Pune ",7 out of 7 floors,Furnished,Ready to Move,Agent,Ideal Property,"Mar 01, '18", 95 Lac,,Resale
11035,850 sqft,carpet area,,"    2 BHK Flat  for sale River Residency, in Moshi Pune ",4 out of 12 floors,Semi-Furnished,Ready to Move,Agent,Sai Properties,"Feb 19, '18", 45 Lac,,New Property
11036,745 sqft,super area,1 Covered,"    2 BHK Flat  , Wagholi Pune ",7 out of 12 floors,Unfurnished,Possession by Dec '19,Certified Agent,Optimus Realtors,"Mar 05, '18", 40.1 Lac, 5386,New Property
11037,842 sqft,carpet area,1 Covered,"    2 BHK Flat  , Wagholi Pune ",11 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Optimus Realtors,"Feb 19, '18", 48 Lac,,New Property
11038,720 sqft,carpet area,,"    2 BHK Flat  for sale Kiran shubhamkaroti, in Sus Pune ",2 out of 8 floors,Unfurnished,Ready to Move,Agent,Srushti Properties,"Feb 08, '18", 51.5 Lac,,New Property
11039,741 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Azure, in Koyte Vasti, Dattawadi Pune ",6 out of 12 floors,Semi-Furnished,Possession by Dec '18,Certified Agent,Prop Rise Property Consultancy,"Feb 23, '18", 70 Lac,,New Property
11040,1080 sqft,carpet area,1 Covered,"    2 BHK Flat  , Viman Nagar Pune ",4 out of 6 floors,Unfurnished,Ready to Move,Agent,Akshay Enterprises,"Feb 14, '18", 80 Lac,,Resale
11041,738 sqft,super area,1 Covered,"    2 BHK Flat  for sale Skylights, in Wagholi Pune ",6 out of 12 floors,Unfurnished,Possession by Dec '19,Certified Agent,Optimus Realtors,"Feb 22, '18", 39.8 Lac, 5396,New Property
11042,1047 sqft,super area,,"    2 BHK Flat  for sale Souvenir, in Baner Pune ",4 out of 12 floors,Unfurnished,Ready to Move,Agent,Bulls Eye Property Solution ,"Mar 03, '18", 64 Lac, 6113,Resale
11043,771 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Puraniks Abitante, in Bavdhan Pune ",5 out of 15 floors,Semi-Furnished,Possession by Jun '18,Certified Agent,Corazon Homes,"Mar 01, '18", 60 Lac,,New Property
11044,651 sqft,carpet area,1 Covered,"    2 BHK Flat  , Kharadi Gaon, Kharadi Pune ",2 out of 6 floors,Unfurnished,Possession by Jun '18,Agent,Sai Realtors,"Mar 05, '18", 47.5 Lac,,New Property
11045,900 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Galaxy, in NIBM Road Pune ",2 out of 5 floors,Furnished,Ready to Move,Agent,Luckee Properties,"Mar 02, '18", 54 Lac,,Resale
11046,682 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Puraniks Aldea Espenola Phase 6, in Balewadi Phata, Baner Pune ",4 out of 15 floors,Unfurnished,Possession by Sep '21,Certified Agent,Abode Search,"Mar 16, '18", 64 Lac,,New Property
11047,885 sqft,super area,1 Covered,"    2 BHK Flat  for sale Jalan Aura County, in Nagar Road Pune ",2 out of 8 floors,Unfurnished,Ready to Move,Agent,Vansh Realty,"Feb 23, '18", 40 Lac, 4520,Resale
11048,1160 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Godrej 24, in Hinjewadi Pune ",10 out of 17 floors,Unfurnished,Possession by Sep '21,Certified Agent,Corazon Homes,"Mar 07, '18", 76.5 Lac,,Resale
11049,1000 sqft,super area,1 Covered,"    2 BHK Flat  for sale Belcastel, in Keshav Nagar, Mundhwa Pune ",4 out of 7 floors,Unfurnished,Ready to Move,Certified Agent,Shiv Properties Pune,"Feb 09, '18", 53 Lac, 5300,Resale
11050,900 sqft,super area,,"    2 BHK Flat  for sale Magarpatta Grevillea, in Magarpatta City Pune ",4 out of 22 floors,Unfurnished,Ready to Move,Agent,Sanskruti Properties,"Mar 01, '18", 72 Lac, 8000,New Property
11051,750 sqft,carpet area,1 Open,"    2 BHK Flat  for sale Rose Icon, in Pimple Saudagar, Pimpri Chinchwad Pune ",7 out of 7 floors,Semi-Furnished,Ready to Move,Agent,Vivaan Investments & Properties,"Mar 11, '18", 78 Lac,,Resale
11052,600 sqft,carpet area,"1 Covered, 1 Open","    2 BHK Flat  , Wakad, Pimpri Chinchwad Pune ",,Unfurnished,Ready to Move,Agent,Right Direction Realty,"Mar 06, '18", 55 Lac,,Resale
