,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
238,498,8082.00,8178.90,8117.35,727,"2,494","6,774","5,135","2,659",,,,,,,,,,,,ISGEC Heavy Engineering Ltd.,ENGINEERING - HEAVY
239,30.76 K,276.20,272.85,273.85,80.22 K,"1,581,302","1,031,512","929,919","1,137,506",276.00,273.40,274.55,"25,710,521","15,158,377","11,198,664","14,894,433",83%,11%,83% buying,6%,ITC Ltd.,CIGARETTES
240,3610,211.25,209.80,215.45,4730,"22,126","17,072","22,430","16,078",211.90,209.90,216.55,"137,619","85,628","124,967","78,790",,,,,ITD Cementation India Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
241,806,330.80,320.60,320.30,735,"9,593","28,391","24,821","21,929",328.55,321.50,320.40,"102,905","153,845","134,740","94,635",,,,,J Kumar Infraprojects Ltd.,CONSTRUCTION & CONTRACTING - CIVIL
242,167,1147.40,1147.40,1123.95,736,"1,880","5,116","4,801","3,409",1140.30,1141.30,1128.15,"24,425","50,194","42,345","72,688",,,,,J. K. Cement Ltd.,CEMENT - MAJOR
243,8257,173.80,173.65,175.95,1405,"2,992","10,150","23,969","7,716",173.60,173.50,176.35,"33,842","308,943","287,679","74,757",,,,,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT
244,37.74 K,188.50,188.50,186.95,15.36 K,"485,099","863,702","845,455","564,918",188.40,188.00,187.65,"1,808,817","4,146,106","3,989,002","2,499,907",29%,,,71%,Jai Corp Ltd.,STEEL - GP & GC SHEETS
245,29.37 K,134.40,133.20,135.80,40.05 K,"1,527,758","1,542,516","1,679,134","1,576,746",134.00,133.10,136.00,"14,359,560","13,722,764","11,523,076","15,730,840",100%,,,,Jain Irrigation Systems Ltd.,PLASTICS
246,72.45 K,21.30,20.85,21.70,1.41 L,"8,760,647","8,149,969","9,105,652","8,121,472",21.20,20.85,21.70,"98,659,778","67,657,494","79,949,200","68,019,361",83%,8%,83% buying,9%,Jaiprakash Associates Ltd.,INFRASTRUCTURE - GENERAL
247,4395,319.85,319.90,324.20,1155,"7,356","12,192","27,377","11,862",318.05,320.05,326.15,"81,055","69,021","137,809","86,139",,,,,JB Chemicals and Pharmaceuticals Ltd.,PHARMACEUTICALS
248,2803,204.00,203.95,203.70,1521,"4,832","33,065","30,280","19,741",204.80,203.30,203.30,"58,738","147,348","188,561","96,586",,,,,JBF Industries Ltd.,TEXTILES - MANMADE
249,5807,791.15,791.15,793.45,8521,"348,337","348,114","399,827","286,328",794.00,791.25,793.20,"3,427,052","3,602,481","4,554,876","2,962,448",60%,,,40%,Jet Airways Ltd.,TRANSPORT & LOGISTICS
250,12.07 K,207.65,205.50,208.20,9330,"66,687","133,896","104,916","67,398",206.50,205.40,208.60,"384,484","576,462","530,718","452,611",100%,,,,Jindal Stainless (Hisar) Ltd.,STEEL - LARGE
251,3776,385.00,385.05,383.00,3520,"15,421","25,135","23,697","17,006",386.70,384.55,381.85,"107,534","162,399","138,629","106,208",,,,,Jindal Poly Films Ltd.,PACKAGING
252,25.05 K,155.90,154.95,157.45,7793,"367,667","589,087","431,311","603,168",155.00,154.80,157.75,"2,170,474","3,237,507","2,624,353","3,043,300",100%,,,,Jindal Saw Ltd.,STEEL - TUBES & PIPES
253,8377,263.85,265.00,264.00,13.21 K,"1,732,300","2,087,383","1,311,874","1,690,508",263.05,264.35,264.15,"16,084,560","21,291,611","13,402,831","16,386,118",56%,,,44%,Jindal Steel & Power Ltd.,STEEL - SPONGE IRON
